vehicle_id,track_id,iframe,lane,frame_start,frame_end,speed_gt
1.0,19.0,71.0,3.0,71.0,111.0,56.65
2.0,29.0,107.0,3.0,107.0,147.0,53.74
3.0,46.0,187.0,2.0,187.0,227.0,52.13
4.0,51.0,245.0,3.0,245.0,285.0,49.06
5.0,53.0,253.0,2.0,253.0,293.0,50.51
6.0,55.0,275.0,3.0,275.0,315.0,48.89
7.0,61.0,281.0,1.0,281.0,321.0,59.57
8.0,,295.0,2.0,295.0,335.0,48.83
9.0,74.0,314.0,3.0,314.0,354.0,56.01
10.0,78.0,373.0,3.0,373.0,413.0,51.12
11.0,,384.0,2.0,384.0,424.0,49.16
12.0,97.0,414.0,2.0,414.0,454.0,48.44
13.0,104.0,436.0,1.0,436.0,476.0,51.92
14.0,115.0,478.0,2.0,478.0,518.0,58.33
15.0,128.0,575.0,2.0,575.0,615.0,53.55
16.0,154.0,708.0,3.0,708.0,748.0,52.86
17.0,158.0,750.0,3.0,750.0,790.0,54.23
18.0,166.0,757.0,1.0,757.0,797.0,50.59
19.0,191.0,806.0,1.0,806.0,846.0,50.06
20.0,195.0,867.0,3.0,867.0,907.0,52.39
21.0,194.0,869.0,2.0,869.0,909.0,50.84
22.0,207.0,936.0,3.0,936.0,976.0,54.76
23.0,,2129.0,2.0,2129.0,2169.0,21.51
24.0,527.0,2157.0,3.0,2157.0,2197.0,16.69
25.0,240.0,2162.0,1.0,2162.0,2202.0,23.19
26.0,462.0,2167.0,2.0,2167.0,2207.0,19.33
27.0,534.0,2222.0,3.0,2222.0,2262.0,22.13
28.0,554.0,2265.0,2.0,2265.0,2305.0,24.87
29.0,549.0,2271.0,1.0,2271.0,2311.0,21.02
30.0,559.0,2289.0,3.0,2289.0,2329.0,27.55
31.0,578.0,2319.0,2.0,2319.0,2359.0,30.53
32.0,579.0,2332.0,3.0,2332.0,2372.0,31.31
33.0,573.0,2337.0,1.0,2337.0,2377.0,23.36
34.0,603.0,2389.0,3.0,2389.0,2429.0,35.56
35.0,606.0,2404.0,1.0,2404.0,2444.0,29.68
36.0,622.0,2463.0,1.0,2463.0,2503.0,26.54
37.0,625.0,2505.0,2.0,2505.0,2545.0,57.07
38.0,629.0,2539.0,1.0,2539.0,2579.0,25.78
39.0,639.0,2569.0,2.0,2569.0,2609.0,50.59
40.0,640.0,2579.0,3.0,2579.0,2619.0,48.86
41.0,647.0,2597.0,1.0,2597.0,2637.0,29.12
42.0,657.0,2612.0,2.0,2612.0,2652.0,51.02
43.0,658.0,2625.0,3.0,2625.0,2665.0,50.03
44.0,680.0,2665.0,2.0,2665.0,2705.0,48.42
45.0,693.0,2727.0,2.0,2727.0,2767.0,51.11
46.0,697.0,2760.0,2.0,2760.0,2800.0,44.33
47.0,718.0,2798.0,1.0,2798.0,2838.0,46.94
48.0,716.0,2802.0,3.0,2802.0,2842.0,51.53
49.0,724.0,2860.0,2.0,2860.0,2900.0,50.03
50.0,728.0,2878.0,3.0,2878.0,2918.0,48.87
51.0,733.0,2906.0,1.0,2906.0,2946.0,40.72
52.0,736.0,2919.0,3.0,2919.0,2959.0,46.56
53.0,744.0,2953.0,3.0,2953.0,2993.0,43.53
54.0,750.0,3034.0,2.0,3034.0,3074.0,42.23
55.0,770.0,3101.0,2.0,3101.0,3141.0,52.97
56.0,774.0,3179.0,3.0,3179.0,3219.0,56.6
57.0,782.0,3223.0,3.0,3223.0,3263.0,53.87
58.0,785.0,3225.0,2.0,3225.0,3265.0,50.06
59.0,790.0,3257.0,3.0,3257.0,3297.0,51.47
60.0,803.0,3339.0,3.0,3339.0,3379.0,55.25
61.0,,3354.0,2.0,3354.0,3394.0,55.83
62.0,824.0,3385.0,3.0,3385.0,3425.0,56.96
63.0,828.0,3469.0,3.0,3469.0,3509.0,56.86
64.0,830.0,3479.0,1.0,3479.0,3519.0,49.07
65.0,835.0,3500.0,2.0,3500.0,3540.0,54.43
66.0,837.0,3508.0,3.0,3508.0,3548.0,56.86
67.0,1080.0,4594.0,1.0,4594.0,4634.0,21.59
68.0,1165.0,4640.0,2.0,4640.0,4680.0,24.78
69.0,1164.0,4646.0,3.0,4646.0,4686.0,19.82
70.0,1185.0,4667.0,1.0,4667.0,4707.0,26.63
71.0,1197.0,4714.0,2.0,4714.0,4754.0,30.1
72.0,1249.0,4765.0,2.0,4765.0,4805.0,34.74
73.0,1193.0,4779.0,3.0,4779.0,4819.0,23.44
74.0,1275.0,4802.0,1.0,4802.0,4842.0,44.74
75.0,1294.0,4827.0,2.0,4827.0,4867.0,38.09
76.0,1288.0,4829.0,3.0,4829.0,4869.0,31.19
77.0,1322.0,4873.0,2.0,4873.0,4913.0,40.95
78.0,1328.0,4894.0,1.0,4894.0,4934.0,48.18
79.0,1330.0,4906.0,3.0,4906.0,4946.0,34.92
80.0,1339.0,4913.0,2.0,4913.0,4953.0,42.39
81.0,1348.0,4963.0,3.0,4963.0,5003.0,35.29
82.0,1379.0,4990.0,2.0,4990.0,5030.0,40.4
83.0,1402.0,5026.0,3.0,5026.0,5066.0,36.7
84.0,1429.0,5080.0,2.0,5080.0,5120.0,45.87
85.0,1433.0,5110.0,2.0,5110.0,5150.0,37.65
86.0,1438.0,5142.0,3.0,5142.0,5182.0,42.86
87.0,1445.0,5162.0,2.0,5162.0,5202.0,48.45
88.0,1447.0,5171.0,1.0,5171.0,5211.0,41.97
89.0,1448.0,5174.0,3.0,5174.0,5214.0,46.37
90.0,1460.0,5223.0,2.0,5223.0,5263.0,49.76
