vehicle_id,lane,speed,frame_start,frame_end,initial_frame,x,y,w,h,moto,plate,radar,sema
1,3,43.19,6,46,6,1549,904,104,29,False,True,True,False
2,3,43.63,85,125,85,1656,900,112,34,False,True,True,False
3,1,47.71,89,129,89,347,965,123,29,False,True,True,False
4,2,55.61,124,164,124,869,897,104,34,False,True,True,False
5,3,50.17,129,169,129,1611,922,114,28,False,True,True,False
6,1,47.28,145,185,145,82,868,115,37,False,True,True,False
7,1,47.14,170,210,170,34,862,114,29,False,True,True,False
8,2,47.37,180,220,180,824,855,114,34,False,True,True,False
9,3,49.68,195,235,195,1756,865,110,31,False,True,True,False
10,3,47.74,239,279,239,1680,903,104,28,False,True,True,False
11,2,51.59,272,312,272,838,855,111,29,False,True,True,False
12,3,51.41,315,355,315,1631,884,117,32,False,True,True,False
13,1,60.67,317,357,317,98,890,109,30,False,True,True,False
14,2,51.38,334,374,334,834,875,109,31,False,True,True,False
15,2,52.28,382,422,382,921,900,117,37,False,True,True,False
16,2,51.65,422,462,422,874,898,115,35,False,True,True,False
17,3,53.98,465,505,465,1512,809,101,23,False,True,True,False
18,1,52.33,479,519,479,101,885,115,28,False,True,True,False
19,2,47.54,485,525,485,842,883,122,38,False,True,True,False
20,3,54.6,509,549,509,1649,852,111,32,False,True,True,False
21,1,52.49,523,563,523,216,841,55,43,True,False,True,False
22,3,57.04,596,636,596,1683,924,105,35,False,True,True,False
23,1,50.85,641,681,641,192,895,63,35,False,True,True,False
24,1,51.99,663,703,663,183,924,116,31,False,True,True,False
25,2,52.69,666,706,666,877,881,105,32,False,True,True,False
26,3,52.41,706,746,706,1711,824,105,35,False,True,True,False
27,1,51.17,714,754,714,88,849,118,35,False,True,True,False
28,2,59.5,744,784,744,872,868,115,31,False,True,True,False
29,1,51.71,793,833,793,83,834,98,25,False,True,True,False
30,3,52.74,811,851,811,1651,914,111,28,False,True,True,False
31,2,55.87,831,871,831,760,890,121,24,False,True,True,False
32,1,19.23,1958,1998,1958,75,855,103,37,False,True,True,True
33,2,21.64,2017,2057,2017,855,877,103,25,False,True,True,True
34,3,22.64,2031,2071,2031,1769,861,111,29,False,True,True,True
35,1,22.79,2039,2079,2039,107,910,108,31,False,True,True,True
