vehicle_id,lane,speed,frame_start,frame_end,initial_frame,x,y,w,h,moto,plate,radar,sema
1,2,39.02,156,196,156,763,822,104,29,False,True,True,False
2,2,39.12,190,230,190,945,920,98,30,False,True,True,False
3,2,56.81,288,328,288,858,772,69,40,True,True,True,False
4,3,51.35,329,369,329,1695,885,112,30,False,True,True,False
5,2,57.89,341,381,341,705,844,117,32,False,True,True,False
6,2,53.37,404,444,404,915,871,117,28,False,True,True,False
7,3,55.11,447,487,447,1702,888,107,29,False,True,True,False
8,2,64.99,461,501,461,811,852,112,37,False,True,True,False
9,1,62.84,529,569,529,161,837,120,29,False,True,True,False
10,3,53.57,569,609,569,1681,883,112,30,False,True,True,False
11,3,51.95,605,645,605,1803,802,102,32,False,True,True,False
12,2,54.09,655,695,655,843,927,109,31,False,True,True,False
13,2,53.95,710,750,710,800,771,103,30,False,True,True,False
14,3,51.5,887,927,887,1751,880,110,32,False,True,True,False
15,3,53.57,932,972,932,1657,881,92,29,False,True,True,False
16,2,56.03,962,1002,962,738,767,105,34,False,True,True,False
17,3,20.44,1937,1977,1937,1708,892,96,30,False,True,True,True
18,3,26.52,2007,2047,2007,1677,888,98,31,False,True,True,False
19,1,24.69,2008,2048,2008,32,728,111,30,False,True,True,True
20,3,47.68,2109,2149,2109,1767,648,89,35,False,True,True,False
21,2,56.18,2229,2269,2229,809,836,111,31,False,True,True,False
22,2,57.32,2311,2351,2311,874,877,114,36,False,True,True,False
23,3,71.55,2386,2426,2386,1649,830,110,34,False,True,True,False
24,3,45.47,2538,2578,2538,1727,845,97,28,False,True,True,False
25,2,50.67,2587,2627,2587,775,895,107,31,False,True,True,False
26,3,45.54,2597,2637,2597,1712,804,112,35,False,True,True,False
27,3,46.7,2679,2719,2679,1697,838,111,38,False,True,True,False
28,2,54.13,2704,2744,2704,788,852,102,31,False,True,True,False
29,3,47.39,2722,2762,2722,1594,784,103,37,False,True,True,False
30,2,37.42,2871,2911,2871,709,718,108,32,False,True,True,False
31,3,47.91,2900,2940,2900,1736,874,108,30,False,True,True,False
32,3,49.2,2999,3039,2999,1662,891,103,27,False,True,True,False
33,2,18.86,3837,3877,3837,924,911,110,29,False,True,True,True
34,3,40.0,3921,3961,3921,1671,732,54,48,True,True,True,False
35,2,48.18,4062,4102,4062,855,890,115,29,False,True,True,False
36,3,45.54,4105,4145,4105,1488,552,92,28,False,True,True,False
37,2,49.82,4106,4146,4106,754,862,120,28,False,True,True,False
38,2,53.15,4144,4184,4144,749,875,109,36,False,True,True,False
39,3,47.28,4147,4187,4147,1652,885,109,30,False,True,True,False
40,3,49.75,4216,4256,4216,1720,857,104,31,False,True,True,False
41,3,49.66,4261,4301,4261,1670,861,112,29,False,True,True,False
42,3,47.27,4293,4333,4293,1669,856,109,34,False,True,True,False
43,3,57.17,4356,4396,4356,1529,778,109,28,False,True,True,False
44,2,37.21,5566,5606,5566,878,821,116,30,False,True,True,False
45,1,43.34,5622,5662,5622,43,880,128,28,False,True,True,False
46,1,41.54,5708,5748,5708,74,881,104,34,False,True,True,False
47,3,54.19,5760,5800,5760,1670,887,116,36,False,True,True,False
48,2,50.29,5813,5853,5813,882,904,107,30,False,True,True,False
49,3,58.12,5868,5908,5868,1665,849,107,31,False,True,True,False
50,2,58.63,5869,5909,5869,809,876,118,37,False,True,True,False
51,3,54.94,5945,5985,5945,1560,856,281,30,False,False,True,False
52,2,59.27,5975,6015,5975,827,822,128,35,False,True,True,False
53,3,50.45,5992,6032,5992,1662,905,107,35,False,True,True,False
54,3,54.8,6064,6104,6064,1574,842,112,28,False,True,True,False
55,3,49.7,6089,6129,6089,1642,788,60,40,False,True,True,False
56,2,53.14,6093,6133,6093,824,945,114,36,False,True,True,False
57,3,56.81,6196,6236,6196,1708,924,115,27,False,True,True,False
58,2,73.21,6233,6273,6233,885,910,107,30,False,True,True,False
59,1,55.48,6240,6280,6240,207,861,108,32,False,True,True,False
60,3,55.73,6253,6293,6253,1645,910,110,30,False,True,True,False
61,3,53.75,6307,6347,6307,1554,911,105,31,False,True,True,False
62,2,52.03,6344,6384,6344,765,747,103,37,False,True,True,False
63,3,54.13,6397,6437,6397,1678,910,104,32,False,True,True,False
64,2,54.75,6401,6441,6401,757,865,104,27,False,True,True,False
65,3,52.34,6477,6517,6477,1472,841,117,37,False,True,True,False
66,2,50.25,6539,6579,6539,764,862,96,30,False,True,True,False
67,2,19.58,7367,7407,7367,892,849,120,34,False,True,True,True
68,3,52.53,7541,7581,7541,1545,756,111,22,False,True,True,False
69,2,50.69,7617,7657,7617,789,527,89,23,False,True,True,False
