epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9372,0.82401,1.72634,1.09633,0.99088,0.19107,0.29629,0.22217,1.00757,2.22969,1.04909,0.08416,0.00016,0.00016
2,104.001,0.69104,0.83654,0.99651,0.94047,0.47491,0.58236,0.47606,0.66662,1.14019,0.89831,0.0673235,0.000323466,0.000323466
3,161.358,0.65431,0.68821,0.97907,0.884,0.56452,0.58317,0.49328,0.67481,0.72906,0.86519,0.0504802,0.0004802,0.0004802
4,221.833,0.62577,0.59688,0.97219,0.88206,0.61166,0.70023,0.55946,0.59388,0.58871,0.8624,0.0336302,0.000630202,0.000630202
5,293.249,0.56365,0.49434,0.93282,0.62304,0.72964,0.71184,0.59712,0.5739,0.52575,0.86789,0.0167735,0.000773472,0.000773472
6,342.055,0.55333,0.48325,0.94252,0.6779,0.69892,0.69426,0.56896,0.59702,0.49574,0.8895,0.000901,0.000901,0.000901
7,391.116,0.53536,0.44685,0.94549,0.86148,0.74867,0.77638,0.65849,0.5636,0.46185,0.88073,0.0008812,0.0008812,0.0008812
8,439.545,0.50366,0.44347,0.91642,0.81654,0.74696,0.77924,0.69748,0.53654,0.46754,0.8766,0.0008614,0.0008614,0.0008614
9,501.738,0.52839,0.44155,0.93092,0.94664,0.66955,0.70794,0.61702,0.55582,0.40671,0.88164,0.0008416,0.0008416,0.0008416
10,561.039,0.49409,0.39788,0.9278,0.97257,0.50756,0.54851,0.51195,0.53757,0.34355,0.87468,0.0008218,0.0008218,0.0008218
11,618.944,0.49577,0.38672,0.92033,0.96292,0.66895,0.70513,0.65176,0.5715,0.37065,0.88969,0.000802,0.000802,0.000802
12,684.26,0.48265,0.39074,0.91358,0.94707,0.72646,0.75213,0.68917,0.52322,0.35071,0.87339,0.0007822,0.0007822,0.0007822
13,752.272,0.48005,0.36281,0.92908,0.97349,0.68481,0.7251,0.67969,0.55369,0.32582,0.87339,0.0007624,0.0007624,0.0007624
14,824.016,0.48958,0.3614,0.92757,0.97817,0.73133,0.75564,0.69994,0.54537,0.31799,0.87373,0.0007426,0.0007426,0.0007426
15,899.758,0.46747,0.36431,0.9176,0.96219,0.62276,0.65381,0.60866,0.53028,0.3469,0.86294,0.0007228,0.0007228,0.0007228
16,980.278,0.42773,0.33528,0.89494,0.87565,0.65902,0.68214,0.62146,0.54924,0.4319,0.88161,0.000703,0.000703,0.000703
17,1055.86,0.43204,0.33734,0.89584,0.9451,0.72621,0.76568,0.71874,0.53838,0.38249,0.87454,0.0006832,0.0006832,0.0006832
18,1328.16,0.44081,0.3297,0.90317,0.96523,0.61451,0.66622,0.60826,0.51418,0.31684,0.86201,0.0006634,0.0006634,0.0006634
19,1404.69,0.42793,0.33233,0.89207,0.6625,0.06989,0.12609,0.11524,0.53792,0.31209,0.86794,0.0006436,0.0006436,0.0006436
20,1494.38,0.43577,0.33691,0.89877,0.93359,0.72915,0.78382,0.72025,0.54912,0.33752,0.87348,0.0006238,0.0006238,0.0006238
21,1581.76,0.41284,0.30879,0.88244,0.95036,0.75917,0.78697,0.726,0.54376,0.29917,0.8749,0.000604,0.000604,0.000604
22,1673.42,0.43354,0.32877,0.90682,0.97858,0.72969,0.76035,0.7122,0.50613,0.2899,0.84883,0.0005842,0.0005842,0.0005842
23,1757.61,0.4116,0.31827,0.8871,0.97472,0.74125,0.77953,0.72353,0.52076,0.30071,0.85373,0.0005644,0.0005644,0.0005644
24,1846.8,0.4067,0.30738,0.88277,0.95991,0.97422,0.98604,0.87162,0.50328,0.28942,0.85099,0.0005446,0.0005446,0.0005446
25,1934.97,0.39277,0.30092,0.87854,0.95151,0.97927,0.995,0.89513,0.51244,0.2841,0.85714,0.0005248,0.0005248,0.0005248
26,2014.26,0.39241,0.29854,0.88683,0.97023,0.9768,0.995,0.86056,0.50854,0.28214,0.85587,0.000505,0.000505,0.000505
27,2099.76,0.37578,0.28442,0.8855,0.94805,0.97921,0.99281,0.89387,0.49799,0.26911,0.85284,0.0004852,0.0004852,0.0004852
28,2188.27,0.37497,0.29355,0.88789,0.906,0.97424,0.99484,0.8758,0.49866,0.26873,0.8547,0.0004654,0.0004654,0.0004654
29,2274.62,0.37502,0.28529,0.88841,0.88748,0.97907,0.99479,0.87063,0.50967,0.2778,0.8604,0.0004456,0.0004456,0.0004456
30,2365.52,0.38077,0.29751,0.89302,0.86625,0.97752,0.99468,0.853,0.52451,0.27868,0.86685,0.0004258,0.0004258,0.0004258
31,2451.72,0.37973,0.28267,0.88543,0.83394,0.95359,0.99484,0.87289,0.5159,0.2889,0.86632,0.000406,0.000406,0.000406
32,2533.29,0.36107,0.26652,0.8773,0.86447,0.97717,0.995,0.8767,0.51592,0.27679,0.87167,0.0003862,0.0003862,0.0003862
33,2620.19,0.3489,0.26364,0.8702,0.89913,0.98002,0.99495,0.89274,0.51601,0.27318,0.87078,0.0003664,0.0003664,0.0003664
34,2698.79,0.35406,0.26715,0.86846,0.89335,0.97721,0.9949,0.8686,0.52003,0.28238,0.86807,0.0003466,0.0003466,0.0003466
35,2774.44,0.36041,0.26478,0.87524,0.91409,0.97278,0.995,0.8514,0.53041,0.28432,0.86379,0.0003268,0.0003268,0.0003268
36,2859.92,0.34382,0.26356,0.87474,0.95603,0.9768,0.995,0.85678,0.51601,0.2824,0.85686,0.000307,0.000307,0.000307
37,2941.86,0.34579,0.25599,0.87738,0.90376,0.9792,0.995,0.84931,0.50924,0.27943,0.85334,0.0002872,0.0002872,0.0002872
38,3031.46,0.34327,0.25239,0.88705,0.90355,0.98012,0.995,0.86,0.50308,0.26887,0.85074,0.0002674,0.0002674,0.0002674
39,3122.02,0.33619,0.25873,0.87443,0.9,0.98284,0.995,0.8602,0.50013,0.2621,0.84805,0.0002476,0.0002476,0.0002476
40,3206.13,0.32377,0.25129,0.85683,0.89118,0.99499,0.995,0.85289,0.48962,0.26014,0.84564,0.0002278,0.0002278,0.0002278
41,3323.79,0.29889,0.22458,0.85165,0.89871,0.9932,0.995,0.86571,0.48159,0.25404,0.84588,0.000208,0.000208,0.000208
42,3410.94,0.29696,0.22121,0.85957,0.93822,0.98756,0.995,0.87092,0.47678,0.25008,0.84367,0.0001882,0.0001882,0.0001882
43,3504.43,0.2861,0.21892,0.85359,0.9575,0.99062,0.995,0.85618,0.4793,0.25579,0.84511,0.0001684,0.0001684,0.0001684
44,3589.75,0.27117,0.20992,0.85481,0.96507,0.98861,0.995,0.85604,0.47679,0.25588,0.8487,0.0001486,0.0001486,0.0001486
45,3698.25,0.28246,0.2065,0.86332,0.96477,0.98512,0.995,0.86746,0.47069,0.25255,0.85147,0.0001288,0.0001288,0.0001288
46,3790.41,0.29222,0.20882,0.8672,0.96235,0.9854,0.995,0.86687,0.4658,0.24842,0.85235,0.000109,0.000109,0.000109
47,3885.21,0.26071,0.19828,0.83291,0.95183,0.98611,0.995,0.85657,0.46294,0.24544,0.8507,8.92e-05,8.92e-05,8.92e-05
