epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1378.27,0.83888,0.64349,0.91783,0.84016,0.73233,0.8208,0.65258,0.87966,0.63732,0.92845,0.00333111,0.00333111,0.00333111
2,2732.14,0.72934,0.4408,0.87971,0.83901,0.76301,0.83963,0.67638,0.84093,0.61287,0.92561,0.00644452,0.00644452,0.00644452
3,4089.95,0.72362,0.43568,0.88017,0.85353,0.74363,0.81832,0.65601,0.85258,0.62837,0.93817,0.00933793,0.00933793,0.00933793
4,5443.23,0.69778,0.41248,0.87562,0.83724,0.75325,0.81463,0.65734,0.84076,inf,0.93423,0.00901,0.00901,0.00901
5,6795.32,0.6578,0.37639,0.86491,0.85535,0.74081,0.82937,0.67797,0.82903,inf,0.92984,0.00868,0.00868,0.00868
6,8147.1,0.63442,0.35563,0.85889,0.85439,0.74722,0.83394,0.68219,0.83312,inf,0.93162,0.00835,0.00835,0.00835
7,9502.13,0.61777,0.34179,0.8543,0.85028,0.7588,0.84443,0.69316,0.83036,inf,0.92711,0.00802,0.00802,0.00802
8,10853.1,0.60498,0.33155,0.85092,0.8601,0.73818,0.83824,0.69011,0.82764,inf,0.92979,0.00769,0.00769,0.00769
9,12204.1,0.59292,0.32276,0.84829,0.86437,0.74331,0.843,0.69807,0.82665,inf,0.93023,0.00736,0.00736,0.00736
10,13555.7,0.58469,0.31662,0.84609,0.84884,0.75736,0.84438,0.6997,0.82747,inf,0.93013,0.00703,0.00703,0.00703
11,14908.3,0.57559,0.30924,0.84423,0.83189,0.75568,0.84076,0.6967,0.82607,inf,0.93016,0.0067,0.0067,0.0067
12,16260,0.56894,0.30502,0.84223,0.83109,0.75396,0.83947,0.69528,0.82729,inf,0.9302,0.00637,0.00637,0.00637
13,17611,0.56152,0.30002,0.84017,0.8319,0.75548,0.84038,0.69651,0.82827,inf,0.9306,0.00604,0.00604,0.00604
14,18962.5,0.55507,0.29517,0.83871,0.82953,0.75589,0.84018,0.69711,0.82871,inf,0.93077,0.00571,0.00571,0.00571
15,20313.9,0.54883,0.29115,0.83769,0.82604,0.75552,0.83887,0.69597,0.82933,inf,0.93105,0.00538,0.00538,0.00538
16,21663.8,0.54253,0.28688,0.83595,0.82828,0.75269,0.83778,0.6951,0.83003,inf,0.9315,0.00505,0.00505,0.00505
17,23015.1,0.53729,0.28319,0.83502,0.82087,0.75853,0.8382,0.69557,0.83063,inf,0.93201,0.00472,0.00472,0.00472
18,24366.2,0.53088,0.27914,0.83301,0.81744,0.75991,0.83705,0.69447,0.83116,inf,0.93227,0.00439,0.00439,0.00439
19,25718.3,0.52505,0.27493,0.83209,0.81564,0.7616,0.83759,0.69475,0.83182,inf,0.9327,0.00406,0.00406,0.00406
20,27068,0.52011,0.27159,0.83127,0.81809,0.75759,0.83751,0.6943,0.83251,inf,0.9327,0.00373,0.00373,0.00373
21,28397.4,0.51063,0.256,0.82226,0.82705,0.7494,0.83744,0.69487,0.8324,inf,0.93217,0.0034,0.0034,0.0034
22,29720.3,0.4998,0.25008,0.82024,0.82658,0.74809,0.83672,0.69532,0.83233,inf,0.93139,0.00307,0.00307,0.00307
23,31043.7,0.48959,0.24423,0.81789,0.82415,0.74906,0.83596,0.69579,0.83257,inf,0.93078,0.00274,0.00274,0.00274
24,32369.7,0.47943,0.23886,0.81601,0.8244,0.74922,0.83635,0.69632,0.8331,inf,0.93116,0.00241,0.00241,0.00241
25,33692.4,0.46891,0.23249,0.81309,0.82496,0.7483,0.83596,0.69614,0.83336,inf,0.93074,0.00208,0.00208,0.00208
26,35016.3,0.45924,0.22715,0.81098,0.82302,0.74999,0.83539,0.69577,0.8343,inf,0.93071,0.00175,0.00175,0.00175
27,36340.2,0.44832,0.22085,0.80904,0.8186,0.75463,0.83497,0.69561,0.83489,inf,0.93047,0.00142,0.00142,0.00142
28,37666.7,0.43713,0.21462,0.80639,0.81647,0.75855,0.83456,0.69512,0.83594,inf,0.93098,0.00109,0.00109,0.00109
29,38991,0.42631,0.20812,0.80472,0.82056,0.75809,0.83423,0.69481,0.83702,0.62408,0.93156,0.00076,0.00076,0.00076
30,40315.5,0.41544,0.2024,0.80313,0.82183,0.75687,0.83333,0.69457,0.83834,0.62786,0.93263,0.00043,0.00043,0.00043
